0 11 22
1 10 23
7 11 4
10 14 10
0 14 19
3 5 25
0 4 17
0 6 19
5 8 24
5 11 1
7 12 15
5 14 18
6 16 22
1 4 17
5 15 22
4 9 2
4 13 7
1 2 15
6 12 21
6 9 24
9 14 24
11 12 19
9 13 7
3 16 9
5 10 17
3 8 12
2 15 25
9 12 25
9 10 18
0 1 4
2 13 11
2 9 4
2 12 13
4 16 21
8 10 17
1 5 12
1 8 4
2 14 7
0 13 18
0 2 18
7 15 24
13 14 4
2 5 21
10 12 13
3 13 1
9 15 14
9 11 18
14 15 23
8 16 12
0 9 3
6 15 7
1 16 15
8 15 23
7 10 17
3 4 8
2 8 19
3 10 4
4 10 19
2 11 20
1 15 25
0 5 11
11 13 23
3 7 18
11 15 2
8 12 14
0 16 18
1 9 10
5 13 3
5 6 14
0 15 24
14 16 2
0 12 25
4 14 9
10 11 22
4 12 23
6 7 2
10 15 15
3 14 16
7 13 4
11 14 11
2 10 23
7 14 19
3 9 16
4 8 13
5 9 12
15 16 10
12 16 22
5 7 21
8 11 23
1 7 20
6 13 13
4 5 18
1 12 1
13 15 25
3 6 12
8 14 20
3 15 6
12 14 9
4 15 16
1 13 7
6 14 9
7 16 19
8 13 23
5 16 13
0 8 11
2 7 7
1 11 3
4 7 17
1 14 21
0 3 4
2 4 13
10 13 11
4 11 25
10 16 18
1 6 6
0 7 1
4 6 19
8 9 22
6 8 14
12 15 23
13 16 22
9 16 10
2 6 24
11 16 19
7 8 24
12 13 4
3 11 24
0 10 2
3 12 21
5 12 25
6 11 9
6 10 24
2 16 11
7 9 19
1 3 20
2 3 6
